mood,age,gender,subject,semester,sibilings,living,employment,personality,relationship,wakeup,breakfast,launch,dinner,sleep,hobbies,smoker,alcoholic,drug_addicted,friends,hangout,social_events,pray,sports,exercise,meditation,video_games,study_hours,phone_hours,medication,movies_per_week,music hours,depression,category
Tensed,24,Female,Engineering,9,3,With family,Part time,Extrovert,In a relationship,11:20:00 AM,1:10:00 AM,4:20:00 PM,9:20:00 PM,4:20:00 AM,other,No,No,No,2,Sometimes,Very Often,Regularly,Not at all,Not at all,Not at all,Not at all,2,6 to 8,No,0,0,18,Moderate
Tensed,23,Male,Engineering,11,3,With family,None,Ambivert,Single,12:00:00 PM,12:15:00 PM,4:30:00 PM,10:30:00 PM,4:00:00 AM,Traveling,Yes,No,No,4,Often,Sometimes,Regularly,Sometimes,Regularly,Sometimes,Sometimes,4,0 to 2,No,5,0,1,None
Sad,19,Female,Pharmacy,3,0,With family,None,Ambivert,Single,8:30:00 AM,10:00:00 AM,3:00:00 PM,10:00:00 PM,1:00:00 AM,"Music, Painting",No,No,No,4,Sometimes,Sometimes,Regularly,Not at all,Sometimes,Not at all,Not at all,3,6 to 8,No,0,0,21,Severe
Lost,23,Female,Engineering,13,1,With family,None,Introvert,In a relationship,2:00:00 PM,3:00:00 PM,7:00:00 PM,12:00:00 AM,3:00:00 AM,"Music, Programming",No,No,No,1,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Very Often,1,0 to 2,No,5,0,23,Severe
Lost,22,Male,Engineering,11,1,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,3:00:00 PM,11:30:00 PM,3:30:00 AM,Music,Yes,No,No,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Very Often,2,6 to 8,No,1,4,19,Moderate
Happy,24,Male,Engineering,10,1,Without family,None,Extrovert,Single,10:00:00 AM,4:00:00 PM,3:00:00 AM,5:00:00 AM,5:30:00 AM,Traveling,Yes,Yes,Yes,15,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,3,0 to 2,No,5,4,13,Moderate
Lost,22,Female,Engineering,11,2,With family,None,Ambivert,In a relationship,9:30:00 AM,11:00:00 AM,3:00:00 PM,11:00:00 PM,3:00:00 AM,"Music, Painting",No,No,No,3,Often,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,2,6 to 8,No,2,3,18,Moderate
Sad,22,Female,Biochemistry,5,2,With family,None,Ambivert,Single,10:00:00 AM,11:00:00 AM,2:00:00 PM,12:00:00 AM,2:00:00 AM,Shopping,No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,1,3 to 5,No,0,1,11,Moderate
Tensed,24,Male,Engineering,13,2,With family,None,Introvert,In a relationship,9:00:00 AM,10:00:00 AM,2:30:00 PM,1:00:00 AM,3:00:00 AM,Traveling,Yes,No,Yes,5,Very Often,Not at all,Sometimes,Not at all,Not at all,Not at all,Very Often,1,3 to 5,,1-Jan,0,9,Moderate
Tensed,23,Female,Engineering,9,2,With family,None,Introvert,Engaged,9:30:00 AM,1:00:00 PM,4:00:00 PM,2:00:00 AM,2:00:00 AM,Music,No,No,No,0,Not at all,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,3,6 to 8,No,15,1,20,Severe
Happy,23,Male,Engineering,15,1,With family,None,Ambivert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,3:00:00 AM,1:00:00 AM,Traveling,No,No,No,3,Very Often,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,3,3 to 5,No,0,0,3,None
Lost,23,Female,Engineering,10,1,With family,None,Introvert,Single,9:00:00 AM,11:00:00 AM,3:00:00 PM,4:00:00 AM,4:00:00 AM,Traveling,No,No,No,3,Sometimes,Often,Sometimes,Not at all,Sometimes,Sometimes,Not at all,4,3 to 5,No,4,2,9,Moderate
Happy,24,Male,Engineering,11,3,With family,Part time,Introvert,Single,10:00:00 AM,10:30:00 AM,2:45:00 PM,5:00:00 AM,2:15:00 AM,Programming,No,No,No,3,Sometimes,Sometimes,Regularly,Not at all,Sometimes,Sometimes,Not at all,5,3 to 5,No,0,0,5,Moderate
Happy,22,Female,Engineering,11,3,With family,None,Introvert,Single,9:00:00 AM,11:00:00 AM,4:00:00 PM,6:00:00 AM,4:30:00 AM,Traveling,No,No,No,0,Not at all,Often,Regularly,Not at all,Not at all,Regularly,Not at all,5,3 to 5,No,0,0,7,Moderate
